Date,Cost Index
2018,91.17875073513693
2017,90.15973161403463
2016,89.46590497495157
2015,88.65392748379934
2014,86.47190990152691
2013,86.05996591094542
2012,85.70969790261492
2011,86.23908799805521
2010,84.61393100421171
2009,84.80835495034087
2008,83.44615919614644
2007,83.19660676053614
2006,82.72701137236605
2005,82.7948477196798
2004,80.77302578850316
2003,76.31543515929664
2002,76.81353949728835
2001,76.6401606998153
2000,78.72200104739595
1999,78.98128130837776
1998,78.79060548990577
1997,79.39146428733092
1996,77.89285948266286
1995,77.74430980443364
1994,79.89887108940512
1993,78.88788053790942
1992,77.05381962620805
1991,76.74207453599819
1990,79.63498843103021
1989,81.66945023376972
1988,84.31285437542734
1987,85.80011746512629
1986,85.06563925795437
1985,86.30725178409052
1984,89.06159549105747
1983,91.52830101709854
1982,88.95277082894883
1981,90.50387670375919
1980,93.67720900915924
1979,100.0
1978,100.56884002199013
1977,99.16550372845042
1976,96.23389798331759
1975,94.12250092065096
1974,97.0932715471171
1973,100.30455778467764
1972,95.74309565561676
1971,89.43618587715929
1970,83.04289524740322
1969,83.3230383406119
1968,79.39056456852481
1967,77.15051023392057
1966,76.74926786090913
1965,75.45724616230389
1964,74.36711732147721
1963,73.3670177367553
1962,72.59299981674913
1961,71.5681969959156
1960,71.6361425754315
1959,70.95296771625183
1958,68.92571419784174
1957,69.24632103959016
1956,68.79148786031361
1955,65.95528266961516
1954,62.2544761920333
1953,60.839220095318005
1952,58.94343771717821
1951,59.278698601377414
1950,59.91718620237915
1949,55.07055158512002
1948,54.02490820059244
1947,54.66305278903562
1946,54.05276416821222
1945,50.41571180609175
1944,50.711518896956136
1943,50.87879093461198
1942,53.093496461624134
1941,56.18900572756444
1940,54.83643871049394
1939,52.835545433126526
1938,52.09138282139236
1937,52.19452664740582
1936,46.79908533913362
1935,45.83077321087864
1934,47.50403984873474
1933,43.078444157493465
1932,34.39721356158959
1931,39.67346769425457
1930,40.62221707833813
1929,41.939694388986936
1928,40.803719251192454
1927,39.90826984999608
1926,38.806698996624704
1925,39.718513951958606
1924,40.369637131498905
1923,41.57111442707925
1922,34.43760958456269
1921,32.805185035155226
1920,40.27179996980633
1919,36.18271777700035
1918,42.643917380036136
1917,53.5943013678033
1916,47.29616864718569
1915,35.31752295625385
1914,34.47783935401113
1913,40.33646953517861
1912,42.25410832340377
1911,42.29755768803429
1910,37.98176671894794
1909,44.07166612266357
1908,50.125714115545215
1907,49.544707383141926
1906,51.769148434637316
1905,47.110983749312076
1904,47.08562106216257
1903,43.543549635726144
1902,50.516165104586726
1901,51.252324438093325
1900,49.42063381316196
1899,64.04460579646552
1898,61.438038202283494
1897,62.38489275638975
1896,60.068945428973564
1895,61.47033842924371
1894,57.263433799441344
1893,44.67333155032127
1892,52.048155015552595
1891,47.26616290855392
1890,51.36233983496865
