ds,y
2017-10-31,2557.0
2017-09-30,2492.84
2017-08-31,2456.22
2017-07-31,2454.1
2017-06-30,2433.99
2017-05-31,2395.35
2017-04-30,2359.31
2017-03-31,2366.82
2017-02-28,2329.91
2017-01-31,2275.12
