ds,y
2016-10-31,2143.02
2016-09-30,2157.69
2016-08-31,2170.95
2016-07-31,2148.9
2016-06-30,2083.89
2016-05-31,2065.55
2016-04-30,2075.54
2016-03-31,2021.95
2016-02-29,1904.42
2016-01-31,1918.6
